,num_frames,mota,motp,num_switches,idfp,idfn,idtp,mostly_tracked,mostly_lost,num_unique_objects,min_mota,max_mota,conf_threshold
0,,0.09481651292925347,0.11206957035663274,464,6824.0,531479.0,46755.0,27,4986,5936,0.002041316240712021,0.36801152737752163,0.9
1,,0.3292180872318669,0.13555289758120886,1542,92330.0,316140.0,262094.0,1363,1459,5936,-0.9704533876719308,0.8003822098679638,0.8
2,,0.1429141341738161,0.14254677291043605,1269,195122.0,233355.0,344879.0,2317,850,5936,-2.6765155374426897,0.8128908964558721,0.7
3,,-0.15427289599325034,0.1456098618088964,1171,305296.0,188302.0,389932.0,2880,587,5936,-6.697829716193656,0.6661744266851981,0.6
4,,-0.495158638625767,0.14704982281987702,1214,425377.0,161761.0,416473.0,3341,460,5936,-12.434056761268781,0.7012062001964852,0.5
5,,-0.8269367227611162,0.14797833371651892,1863,556061.0,150917.0,427317.0,3692,403,5936,-16.110183639398997,0.6929647418404105,0.4
6,,-1.192771388250343,0.14884022800180566,2120,699793.0,140047.0,438187.0,3899,372,5936,-18.487479131886477,0.6295710075319289,0.29999999999999993
7,,-1.410586480180377,0.1491749498571827,2197,785730.0,135850.0,442384.0,3956,371,5936,-19.75959933222037,0.6048007385751655,0.19999999999999996
8,,-1.410586480180377,0.1491749498571827,2197,785730.0,135850.0,442384.0,3956,371,5936,-19.75959933222037,0.6048007385751655,0.09999999999999998
9,,-1.410586480180377,0.1491749498571827,2197,785730.0,135850.0,442384.0,3956,371,5936,-19.75959933222037,0.6048007385751655,0.0
