,num_frames,mota,motp,num_switches,idfp,idfn,idtp,mostly_tracked,mostly_lost,num_unique_objects,min_mota,max_mota,conf_threshold
0,,0.1380280304367481,0.11061218636211506,633,15288.0,503036.0,75198.0,72,4455,5936,-0.16771368741671422,0.47348703170028816,0.9
1,,0.2640686140747388,0.13450773833990684,1204,107126.0,317451.0,260783.0,1323,1529,5936,-2.455934793683138,0.7798818624044476,0.8
2,,0.06391272788600882,0.14134152031295508,1254,213107.0,242310.0,335924.0,2079,908,5936,-3.483443708609271,0.751997915218902,0.7
3,,-0.26010586731171037,0.14457522779393,1152,332776.0,195257.0,382977.0,2663,596,5936,-8.135225375626044,0.6485120718697361,0.6
4,,-0.5777396533565685,0.146122641863663,1483,454509.0,168336.0,409898.0,3213,457,5936,-13.06677796327212,0.6729887566859514,0.5
5,,-0.8862670741812604,0.14713301506747875,2216,579937.0,154184.0,424050.0,3635,394,5936,-15.681135225375627,0.6849143106647746,0.4
6,,-1.2408889034502317,0.14781554801871208,2597,721945.0,144247.0,433987.0,3894,370,5936,-18.040066777963272,0.6484554087981662,0.29999999999999993
7,,-1.4568923104251972,0.14818526159386025,2695,808834.0,141334.0,436900.0,3988,361,5936,-19.671118530884808,0.600698613688462,0.19999999999999996
8,,-1.4568923104251972,0.14818526159386025,2695,808834.0,141334.0,436900.0,3988,361,5936,-19.671118530884808,0.600698613688462,0.09999999999999998
9,,-1.4568923104251972,0.14818526159386025,2695,808834.0,141334.0,436900.0,3988,361,5936,-19.671118530884808,0.600698613688462,0.0
