,yolov5m,yolov5l,detr-resnet-50,yolov5s,yolov5n,yolov5x,detr-resnet-101
0.9,1.0,0.9392712550607287,0.4725098851440407,0.9096045197740112,1.0,0.6462324393358876,0.5214177407126611
0.8,0.6179660323306733,0.5496750232126276,0.4166055449611266,0.6103996895615056,0.8351177730192719,0.49302496328928047,0.45130089225463
0.7,0.5107508724530001,0.5435649800545874,0.373408947700063,0.5266457680250783,0.684947267497603,0.46884512085944496,0.4032985440020616
0.6,0.4677680320190752,0.5128074639525021,0.3379046138470934,0.4595004389114995,0.5313477807393673,0.44897351978577804,0.36933959529193483
0.5,0.4297706797706798,0.4693391267783307,0.3090038887227042,0.39064522092808285,0.4253209816349748,0.41178641732283466,0.3381881276618119
0.4,0.3744410322719681,0.40461180212415515,0.28487578487578485,0.3247482571649884,0.3491465710988277,0.36143410852713176,0.30856709628506446
0.29999999999999993,0.31114505112214164,0.33716160787530763,0.261968085106383,0.2731753109598686,0.28926941713317966,0.30588284102223695,0.28089357688019895
0.19999999999999996,0.2812523378469365,0.30200671570195076,0.23702234365058572,0.245893703101767,0.25567186672640624,0.2768799350601432,0.25159890360895387
0.09999999999999998,0.2812523378469365,0.30200671570195076,0.21066842278564374,0.245893703101767,0.25567186672640624,0.2768799350601432,0.21892752766558302
0.0,0.2812523378469365,0.30200671570195076,0.18171263521549527,0.245893703101767,0.25567186672640624,0.2768799350601432,0.19056292333086686
