,num_frames,mota,motp,num_switches,idfp,idfn,idtp,mostly_tracked,mostly_lost,num_unique_objects,min_mota,max_mota,conf_threshold
0,,0.009324488066129757,,43,531.0,574867.0,3367.0,1,5886,5936,0.0,0.2247838616714697,0.9
1,,0.13486193520726755,0.13158981915207232,1017,13698.0,505675.0,72559.0,72,4411,5936,-0.0010978670012546932,0.39164265129682996,0.8
2,,0.25208090620227247,0.14440280249811543,1976,60581.0,394422.0,183812.0,520,2398,5936,-0.45950076413652563,0.5720461095100864,0.7
3,,0.21486348579682313,0.151318940243404,1709,126509.0,313830.0,264404.0,1143,1587,5936,-1.30412633723892,0.6554030576789437,0.6
4,,0.026914608320790127,0.15562745426268823,1461,214739.0,264554.0,313680.0,1702,1208,5936,-4.425709515859766,0.6576615705350939,0.5
5,,-0.2587439542902158,0.15834291701752493,1951,323226.0,234238.0,343996.0,2227,1010,5936,-9.607679465776293,0.6758578242806585,0.4
6,,-0.6251320025679411,0.16032399449623386,2969,461516.0,220448.0,357786.0,2583,903,5936,-14.931552587646078,0.6279063421023905,0.29999999999999993
7,,-0.8619245575692054,0.16123195821051475,3457,551519.0,215875.0,362359.0,2717,851,5936,-17.49415692821369,0.5772022704944875,0.19999999999999996
8,,-0.8619245575692054,0.16123195821051475,3457,551519.0,215875.0,362359.0,2717,851,5936,-17.49415692821369,0.5772022704944875,0.09999999999999998
9,,-0.8619245575692054,0.16123195821051475,3457,551519.0,215875.0,362359.0,2717,851,5936,-17.49415692821369,0.5772022704944875,0.0
