,num_frames,mota,motp,num_switches,idfp,idfn,idtp,mostly_tracked,mostly_lost,num_unique_objects,min_mota,max_mota,conf_threshold
0,,0.05782190048862926,,354,3817.0,554445.0,23789.0,9,5410,5936,0.0,0.3089337175792507,0.9
1,,0.34606870176342464,0.13188252804398842,1303,64541.0,345286.0,232948.0,1019,1573,5936,-0.3056546102903719,0.7227681078046042,0.8
2,,0.23153934150066172,0.13980914618164803,1192,149177.0,255014.0,323220.0,1874,917,5936,-1.893530310748854,0.8042043085476025,0.7
3,,-0.054339043548719435,0.1438479644539636,1123,250936.0,204925.0,373309.0,2512,618,5936,-6.686143572621035,0.7016157053509382,0.6
4,,-0.36851354333126357,0.14594127406851476,1332,367761.0,175560.0,402674.0,3095,505,5936,-11.629382303839733,0.7305152275952407,0.5
5,,-0.6980922214354632,0.14722579786817605,1855,495073.0,158890.0,419344.0,3520,445,5936,-15.275459098497496,0.7120401702870865,0.4
6,,-1.0624023892606336,0.14849488610868938,2138,638664.0,145528.0,432706.0,3803,407,5936,-18.248747913188648,0.6767810432374212,0.29999999999999993
7,,-1.2899107272308206,0.14914236932332614,2250,728132.0,142383.0,435851.0,3903,402,5936,-20.287145242070117,0.6443760578550546,0.19999999999999996
8,,-1.2899107272308206,0.14914236932332614,2250,728132.0,142383.0,435851.0,3903,402,5936,-20.287145242070117,0.6443760578550546,0.09999999999999998
9,,-1.2899107272308206,0.14914236932332614,2250,728132.0,142383.0,435851.0,3903,402,5936,-20.287145242070117,0.6443760578550546,0.0
