,num_frames,mota,motp,num_switches,idfp,idfn,idtp,mostly_tracked,mostly_lost,num_unique_objects,min_mota,max_mota,conf_threshold
0,,0.03425305373716221,,248,3593.0,562609.0,15625.0,5,5705,5936,0.0,0.2821325648414985,0.9
1,,0.2568951222025527,0.13062390704917656,2159,51065.0,416891.0,161343.0,425,2758,5936,-0.28782475802343344,0.5806916426512969,0.8
2,,0.2576999197774044,0.14167869119828186,2087,126938.0,306431.0,271803.0,1343,1468,5936,-1.447274579724911,0.6890201528839472,0.7
3,,0.11709736275982349,0.14633273784818654,1673,216389.0,242676.0,335558.0,2096,910,5936,-2.2613346917982677,0.7314975677553857,0.6
4,,-0.17354259598999416,0.1490205202337231,1819,330448.0,199758.0,378476.0,2743,645,5936,-6.601001669449082,0.6858593629789198,0.5
5,,-0.553158611706319,0.15063465094828524,2981,478283.0,188784.0,389450.0,3276,547,5936,-12.921535893155259,0.6856747191875674,0.4
6,,-0.9979240573551832,0.15198866657736695,3934,639627.0,181335.0,396899.0,3575,487,5936,-19.46076794657763,0.6267425757808893,0.29999999999999993
7,,-1.2571734850813066,0.15250786004233402,4181,735532.0,178429.0,399805.0,3657,472,5936,-22.118530884808013,0.5699646099399908,0.19999999999999996
8,,-1.2571734850813066,0.15250786004233402,4181,735532.0,178429.0,399805.0,3657,472,5936,-22.118530884808013,0.5699646099399908,0.09999999999999998
9,,-1.2571734850813066,0.15250786004233402,4181,735532.0,178429.0,399805.0,3657,472,5936,-22.118530884808013,0.5699646099399908,0.0
